Id,1st choice,2nd Choice (not required),3rd choice (not required)
1,Option1,Option2,Option3,
2,Option2,Option1,Option4,
3,Option3,Option1,Option2,
4,Option4,Option2,Option1,
5,Option1,Option3,Option4,
6,Option1,Option4,Option2,
7,Option2,Option3,Option4,
8,Option3,Option1,Option2,
9,Option4,Option1,Option3,
10,Option3,Option2,Option1,
11,Option1,Option2,Option4,
12,Option2,Option4,Option3,
13,Option4,Option3,Option1,
14,Option3,Option2,Option4,
15,Option1,Option4,Option2,
16,Option2,Option1,Option3,
17,Option4,Option3,Option2,
18,Option1,Option2,Option3,
19,Option3,Option4,Option1,
20,Option2,Option1,Option4,